Freq.	V(n010)/I(V1)
Step Information: 1=1  (Run: 1/11)
1.53461698279928e+003	(9.91204508611466e+001dB,1.79906074185251e+002°)
1.53815464030302e+003	(9.91204546999232e+001dB,1.79905856635309e+002°)
1.54170045294954e+003	(9.91204585564790e+001dB,1.79905638576712e+002°)
1.54525443953840e+003	(9.91204624308967e+001dB,1.79905420008237e+002°)
1.54881661891247e+003	(9.91204663232592e+001dB,1.79905200928658e+002°)
1.55238700995807e+003	(9.91204702336499e+001dB,1.79904981336746e+002°)
1.55596563160506e+003	(9.91204741621527e+001dB,1.79904761231270e+002°)
1.55955250282694e+003	(9.91204781088518e+001dB,1.79904540610995e+002°)
1.56314764264094e+003	(9.91204820738316e+001dB,1.79904319474682e+002°)
1.56675107010813e+003	(9.91204860571772e+001dB,1.79904097821089e+002°)
1.57036280433354e+003	(9.91204900589739e+001dB,1.79903875648973e+002°)
1.57398286446620e+003	(9.91204940793076e+001dB,1.79903652957084e+002°)
1.57761126969933e+003	(9.91204981182643e+001dB,1.79903429744172e+002°)
1.58124803927037e+003	(9.91205021759306e+001dB,1.79903206008982e+002°)
1.58489319246110e+003	(9.91205062523936e+001dB,1.79902981750257e+002°)
1.58854674859776e+003	(9.91205103477406e+001dB,1.79902756966735e+002°)
1.59220872705115e+003	(9.91205144620594e+001dB,1.79902531657152e+002°)
1.59587914723672e+003	(9.91205185954382e+001dB,1.79902305820240e+002°)
1.59955802861465e+003	(9.91205227479656e+001dB,1.79902079454729e+002°)
1.60324539069002e+003	(9.91205269197307e+001dB,1.79901852559344e+002°)
1.60694125301286e+003	(9.91205311108230e+001dB,1.79901625132807e+002°)
1.61064563517825e+003	(9.91205353213322e+001dB,1.79901397173839e+002°)
1.61435855682647e+003	(9.91205395513486e+001dB,1.79901168681153e+002°)
1.61808003764305e+003	(9.91205438009631e+001dB,1.79900939653464e+002°)
1.62181009735891e+003	(9.91205480702667e+001dB,1.79900710089480e+002°)
1.62554875575047e+003	(9.91205523593510e+001dB,1.79900479987906e+002°)
1.62929603263970e+003	(9.91205566683079e+001dB,1.79900249347445e+002°)
1.63305194789432e+003	(9.91205609972300e+001dB,1.79900018166795e+002°)
1.63681652142779e+003	(9.91205653462100e+001dB,1.79899786444653e+002°)
1.64058977319952e+003	(9.91205697153414e+001dB,1.79899554179710e+002°)
1.64437172321491e+003	(9.91205741047177e+001dB,1.79899321370654e+002°)
1.64816239152549e+003	(9.91205785144331e+001dB,1.79899088016171e+002°)
1.65196179822900e+003	(9.91205829445824e+001dB,1.79898854114942e+002°)
1.65576996346951e+003	(9.91205873952605e+001dB,1.79898619665646e+002°)
1.65958690743754e+003	(9.91205918665629e+001dB,1.79898384666958e+002°)
1.66341265037015e+003	(9.91205963585856e+001dB,1.79898149117548e+002°)
1.66724721255104e+003	(9.91206008714250e+001dB,1.79897913016085e+002°)
1.67109061431069e+003	(9.91206054051779e+001dB,1.79897676361232e+002°)
1.67494287602642e+003	(9.91206099599417e+001dB,1.79897439151650e+002°)
1.67880401812254e+003	(9.91206145358140e+001dB,1.79897201385998e+002°)
1.68267406107045e+003	(9.91206191328932e+001dB,1.79896963062927e+002°)
1.68655302538872e+003	(9.91206237512779e+001dB,1.79896724181088e+002°)
1.69044093164324e+003	(9.91206283910672e+001dB,1.79896484739129e+002°)
1.69433780044731e+003	(9.91206330523608e+001dB,1.79896244735691e+002°)
1.69824365246172e+003	(9.91206377352586e+001dB,1.79896004169414e+002°)
1.70215850839493e+003	(9.91206424398614e+001dB,1.79895763038934e+002°)
1.70608238900310e+003	(9.91206471662700e+001dB,1.79895521342883e+002°)
1.71001531509027e+003	(9.91206519145860e+001dB,1.79895279079889e+002°)
1.71395730750840e+003	(9.91206566849114e+001dB,1.79895036248578e+002°)
1.71790838715757e+003	(9.91206614773485e+001dB,1.79894792847571e+002°)
1.72186857498598e+003	(9.91206662920004e+001dB,1.79894548875484e+002°)
1.72583789199018e+003	(9.91206711289703e+001dB,1.79894304330933e+002°)
1.72981635921508e+003	(9.91206759883623e+001dB,1.79894059212527e+002°)
1.73380399775412e+003	(9.91206808702807e+001dB,1.79893813518873e+002°)
1.73780082874935e+003	(9.91206857748304e+001dB,1.79893567248573e+002°)
